"Raw data packages from the headband:                  ""[ ]"" , i.e. 1 row, is 1 data package"
"[BrainBitSignalData(PackNum=0, Marker=0, O1=0.4, O2=-0.40000038147009037, T3=0.03477939107836826, T4=-0.4), BrainBitSignalData(PackNum=0, Marker=0, O1=0.4, O2=-0.40000038147009037, T3=0.04727902152921823, T4=-0.4)]"
"[BrainBitSignalData(PackNum=1012, Marker=0, O1=0.4, O2=0.21464368309372245, T3=0.07780425815988365, T4=0.30966902701285076), BrainBitSignalData(PackNum=1012, Marker=0, O1=0.4, O2=0.21277982023221992, T3=0.07760093460172139, T4=0.30712843621104835)]"
"[BrainBitSignalData(PackNum=1013, Marker=0, O1=0.4, O2=0.21464673485444533, T3=0.0778202799036788, T4=0.308990391722099), BrainBitSignalData(PackNum=1013, Marker=0, O1=0.4, O2=0.21690694513983264, T3=0.07805183224852777, T4=0.3114199747276065)]"
"[BrainBitSignalData(PackNum=1014, Marker=0, O1=0.4, O2=0.21462956870037908, T3=0.07764976277328756, T4=0.30864821305104545), BrainBitSignalData(PackNum=1014, Marker=0, O1=0.4, O2=0.21522046587034785, T3=0.07777183320220299, T4=0.30896712204658705)]"
"[BrainBitSignalData(PackNum=1015, Marker=0, O1=0.4, O2=0.21660367641799586, T3=0.0779125956655461, T4=0.31031332999547007), BrainBitSignalData(PackNum=1015, Marker=0, O1=0.4, O2=0.2182943518584746, T3=0.07805679135970245, T4=0.31213561261712325)]"
"[BrainBitSignalData(PackNum=1016, Marker=0, O1=0.4, O2=0.21555959278067854, T3=0.07766464010681162, T4=0.30883475192523185), BrainBitSignalData(PackNum=1016, Marker=0, O1=0.4, O2=0.21681119614715208, T3=0.07785804544262452, T4=0.3099989986410128)]"
"[BrainBitSignalData(PackNum=1017, Marker=0, O1=0.4, O2=0.21810361681329424, T3=0.07797706411081706, T4=0.31128150108480557), BrainBitSignalData(PackNum=1017, Marker=0, O1=0.4, O2=0.21838437879979974, T3=0.07792442123834728, T4=0.311491309634504)]"
"[BrainBitSignalData(PackNum=1018, Marker=0, O1=0.4, O2=0.2175039458312472, T3=0.077818372553227, T4=0.3103144744057411), BrainBitSignalData(PackNum=1018, Marker=0, O1=0.4, O2=0.2184614357580526, T3=0.07792861740934125, T4=0.3112151252890828)]"
"[BrainBitSignalData(PackNum=1019, Marker=0, O1=0.4, O2=0.22027036692654317, T3=0.07813537419831676, T4=0.31313430131368764), BrainBitSignalData(PackNum=1019, Marker=0, O1=0.4, O2=0.21914121545907542, T3=0.07786186014352812, T4=0.3117823713134492)]"
"[BrainBitSignalData(PackNum=1020, Marker=0, O1=0.4, O2=0.21829358891829387, T3=0.07779357699735355, T4=0.31060973225568034), BrainBitSignalData(PackNum=1020, Marker=0, O1=0.4, O2=0.2195738025415445, T3=0.0779446391531364, T4=0.31194220728131034)]"
"[BrainBitSignalData(PackNum=1021, Marker=0, O1=0.4, O2=0.2218008249290704, T3=0.07816055122428058, T4=0.31438628615025155), BrainBitSignalData(PackNum=1021, Marker=0, O1=0.4, O2=0.2195406146436831, T3=0.0776406074911189, T4=0.31170569582528673)]"
"[BrainBitSignalData(PackNum=1022, Marker=0, O1=0.4, O2=0.22025091195193477, T3=0.07772872708199223, T4=0.3124274372362492), BrainBitSignalData(PackNum=1022, Marker=0, O1=0.4, O2=0.22166044393581766, T3=0.07789466657129915, T4=0.31400481605989083)]"
"[BrainBitSignalData(PackNum=1023, Marker=0, O1=0.4, O2=0.2232084495625015, T3=0.07805946165033498, T4=0.31579505519395373), BrainBitSignalData(PackNum=1023, Marker=0, O1=0.4, O2=0.22033369096154307, T3=0.07767341391888992, T4=0.3124034046205565)]"
"[BrainBitSignalData(PackNum=1024, Marker=0, O1=0.4, O2=0.22154562143861908, T3=0.07788703716949193, T4=0.3136241089097108), BrainBitSignalData(PackNum=1024, Marker=0, O1=0.4, O2=0.22298834132036335, T3=0.07809875306964213, T4=0.31516791836540065)]"
"[BrainBitSignalData(PackNum=1025, Marker=0, O1=0.4, O2=0.22327215506759174, T3=0.07808578308656987, T4=0.31542884390720743), BrainBitSignalData(PackNum=1025, Marker=0, O1=0.4, O2=0.22115423312590898, T3=0.07786720072479317, T4=0.31276732708676064)]"
"[BrainBitSignalData(PackNum=1026, Marker=0, O1=0.4, O2=0.22235204920964166, T3=0.0780854016164795, T4=0.31395064730705957), BrainBitSignalData(PackNum=1026, Marker=0, O1=0.4, O2=0.22413160718117445, T3=0.07836082302171996, T4=0.3159369620675679)]"
"[BrainBitSignalData(PackNum=1027, Marker=0, O1=0.4, O2=0.22277471806976135, T3=0.07813003361705172, T4=0.3143637794149203), BrainBitSignalData(PackNum=1027, Marker=0, O1=0.4, O2=0.22204725460744343, T3=0.07814834418138902, T4=0.313307107264621)]"
"[BrainBitSignalData(PackNum=1028, Marker=0, O1=0.4, O2=0.22312795937343538, T3=0.07839324797940062, T4=0.31442977374055264), BrainBitSignalData(PackNum=1028, Marker=0, O1=0.4, O2=0.22496893402951626, T3=0.07865531793147844, T4=0.31648933075841024)]"
"[BrainBitSignalData(PackNum=1029, Marker=0, O1=0.4, O2=0.22232610924349713, T3=0.07829101399518394, T4=0.31333686193166915), BrainBitSignalData(PackNum=1029, Marker=0, O1=0.4, O2=0.22295896812340557, T3=0.07852447369048471, T4=0.3138114107240779)]"
"[BrainBitSignalData(PackNum=1030, Marker=0, O1=0.4, O2=0.2240534058126505, T3=0.07873657106072528, T4=0.31491424075531077), BrainBitSignalData(PackNum=1030, Marker=0, O1=0.4, O2=0.22528669861478673, T3=0.07890022172949003, T4=0.3162799036788022)]"
"[BrainBitSignalData(PackNum=1031, Marker=0, O1=0.4, O2=0.2224138473642801, T3=0.0785313401521112, T4=0.31277686383901965), BrainBitSignalData(PackNum=1031, Marker=0, O1=0.4, O2=0.22358000143051285, T3=0.07874801516343609, T4=0.31382972128841524)]"
"[BrainBitSignalData(PackNum=1032, Marker=0, O1=0.4, O2=0.2245363469470472, T3=0.07886512648117684, T4=0.3148215435233531), BrainBitSignalData(PackNum=1032, Marker=0, O1=0.4, O2=0.22416975419021054, T3=0.07880027656581551, T4=0.31442138139856474)]"
"[BrainBitSignalData(PackNum=1033, Marker=0, O1=0.4, O2=0.2231752616646401, T3=0.0787197863767494, T4=0.31315528216865746), BrainBitSignalData(PackNum=1033, Marker=0, O1=0.4, O2=0.2237997282025606, T3=0.07879531745464083, T4=0.31373740552654794)]"
"[BrainBitSignalData(PackNum=1034, Marker=0, O1=0.4, O2=0.2253511670600577, T3=0.07901809598741148, T4=0.31543723624919534), BrainBitSignalData(PackNum=1034, Marker=0, O1=0.4, O2=0.22347624156593474, T3=0.07872970459909878, T4=0.3132659084948621)]"
"[BrainBitSignalData(PackNum=1035, Marker=0, O1=0.4, O2=0.22262289297379778, T3=0.07868011348735189, T4=0.312076103283027), BrainBitSignalData(PackNum=1035, Marker=0, O1=0.4, O2=0.22357313496888634, T3=0.07887237441289369, T4=0.3130007867820614)]"
"[BrainBitSignalData(PackNum=1036, Marker=0, O1=0.4, O2=0.22522757075078081, T3=0.07914550699759197, T4=0.3148402355577808), BrainBitSignalData(PackNum=1036, Marker=0, O1=0.4, O2=0.22209341248837708, T3=0.07877548100994207, T4=0.3112193214600768)]"
"[BrainBitSignalData(PackNum=1037, Marker=0, O1=0.4, O2=0.22232763512385859, T3=0.0790169515771404, T4=0.3112971413585104), BrainBitSignalData(PackNum=1037, Marker=0, O1=0.4, O2=0.2232259971866581, T3=0.0792782585890375, T4=0.3120921250268221)]"
"[BrainBitSignalData(PackNum=1038, Marker=0, O1=0.4, O2=0.22403929141930717, T3=0.07945564218105525, T4=0.31285125050664), BrainBitSignalData(PackNum=1038, Marker=0, O1=0.4, O2=0.220829602079012, T3=0.0791355887752426, T4=0.3088904465584245)]"
"[BrainBitSignalData(PackNum=1039, Marker=0, O1=0.4, O2=0.2215734687552154, T3=0.07949264477982024, T4=0.3094050497103212), BrainBitSignalData(PackNum=1039, Marker=0, O1=0.4, O2=0.22264539970912905, T3=0.07982261640798226, T4=0.31036101375676517)]"
"[BrainBitSignalData(PackNum=1040, Marker=0, O1=0.4, O2=0.22216016975419023, T3=0.07992103569129533, T4=0.3095831962425196), BrainBitSignalData(PackNum=1040, Marker=0, O1=0.4, O2=0.21994840617027872, T3=0.0798592375366569, T4=0.30664053596547697)]"
"[BrainBitSignalData(PackNum=1041, Marker=0, O1=0.4, O2=0.22080747681377108, T3=0.08009460458240947, T4=0.3072295257849939), BrainBitSignalData(PackNum=1041, Marker=0, O1=0.4, O2=0.22258131273394846, T3=0.08044326824499917, T4=0.308915242114298)]"
"[BrainBitSignalData(PackNum=1042, Marker=0, O1=0.4, O2=0.22055494361395228, T3=0.08013732923252986, T4=0.3063136160980378), BrainBitSignalData(PackNum=1042, Marker=0, O1=0.4, O2=0.219933910306845, T3=0.08015411391650573, T4=0.305206589895811)]"
"[BrainBitSignalData(PackNum=1043, Marker=0, O1=0.4, O2=0.22103521445771643, T3=0.08031547576472832, T4=0.3062689840974656), BrainBitSignalData(PackNum=1043, Marker=0, O1=0.4, O2=0.22304708771427892, T3=0.08057067925517965, T4=0.30854445318646734)]"
"[BrainBitSignalData(PackNum=1044, Marker=0, O1=0.4, O2=0.22008192070190497, T3=0.08005760198364448, T4=0.3051779796390339), BrainBitSignalData(PackNum=1044, Marker=0, O1=0.4, O2=0.22069685048756646, T3=0.08017089860048161, T4=0.3058817919557495)]"
"[BrainBitSignalData(PackNum=1045, Marker=0, O1=0.4, O2=0.2214231695396133, T3=0.08028877285840308, T4=0.3069308347042415), BrainBitSignalData(PackNum=1045, Marker=0, O1=0.4, O2=0.22152464058364923, T3=0.08017662065183702, T4=0.30737028824833706)]"
"[BrainBitSignalData(PackNum=1046, Marker=0, O1=0.4, O2=0.21980535488639344, T3=0.07996414181150609, T4=0.30555563502849103), BrainBitSignalData(PackNum=1046, Marker=0, O1=0.4, O2=0.22004835133395323, T3=0.08010070810385524, T4=0.3059962329828577)]"
"[BrainBitSignalData(PackNum=1047, Marker=0, O1=0.4, O2=0.22066976611115086, T3=0.08022811911403571, T4=0.30694266027704264), BrainBitSignalData(PackNum=1047, Marker=0, O1=0.4, O2=0.21962873423455642, T3=0.08006904608635529, T4=0.30608893021481537)]"
"[BrainBitSignalData(PackNum=1048, Marker=0, O1=0.4, O2=0.21752988579739171, T3=0.0798767851608135, T4=0.3038062131940968), BrainBitSignalData(PackNum=1048, Marker=0, O1=0.4, O2=0.21823560546455906, T3=0.08004348759030112, T4=0.3047957466084925)]"
"[BrainBitSignalData(PackNum=1049, Marker=0, O1=0.4, O2=0.21966878859404432, T3=0.08030136137138498, T4=0.306710344992013), BrainBitSignalData(PackNum=1049, Marker=0, O1=0.4, O2=0.2172327205970007, T3=0.07996643063204825, T4=0.3042113344300599)]"
"[BrainBitSignalData(PackNum=1050, Marker=0, O1=0.4, O2=0.21663571990558617, T3=0.08025711084090313, T4=0.30364675869632596), BrainBitSignalData(PackNum=1050, Marker=0, O1=0.4, O2=0.2175287413871206, T3=0.080714874949336, T4=0.30494337553346207)]"
"[BrainBitSignalData(PackNum=1051, Marker=0, O1=0.4, O2=0.21913930810862361, T3=0.08110969649285936, T4=0.30728636482845767), BrainBitSignalData(PackNum=1051, Marker=0, O1=0.4, O2=0.21598035429034643, T3=0.08094642729418497, T4=0.3041430512838853)]"
"[BrainBitSignalData(PackNum=1052, Marker=0, O1=0.4, O2=0.2166555563502849, T3=0.08150642538683452, T4=0.3052596142383711), BrainBitSignalData(PackNum=1052, Marker=0, O1=0.4, O2=0.2175493407720001, T3=0.08190124693035787, T4=0.3067423884796033)]"
"[BrainBitSignalData(PackNum=1053, Marker=0, O1=0.4, O2=0.2180669956846196, T3=0.08224914765276685, T4=0.30781241208306515), BrainBitSignalData(PackNum=1053, Marker=0, O1=0.4, O2=0.21517812269031783, T3=0.0822594473452066, T4=0.3047297522828601)]"
"[BrainBitSignalData(PackNum=1054, Marker=0, O1=0.4, O2=0.2162107622249243, T3=0.0828518703955368, T4=0.3060233173592733), BrainBitSignalData(PackNum=1054, Marker=0, O1=0.4, O2=0.21692411129389888, T3=0.08330200510216246, T4=0.3070567198340605)]"
"[BrainBitSignalData(PackNum=1055, Marker=0, O1=0.4, O2=0.21652013446820687, T3=0.08374374746680019, T4=0.3067778651980068), BrainBitSignalData(PackNum=1055, Marker=0, O1=0.4, O2=0.21605702977850894, T3=0.0841301766683356, T4=0.3063090384569535)]"
"[BrainBitSignalData(PackNum=1056, Marker=0, O1=0.4, O2=0.21634999880790598, T3=0.08443153803972057, T4=0.3066344324440312), BrainBitSignalData(PackNum=1056, Marker=0, O1=0.4, O2=0.21892911808883486, T3=0.08514565004887585, T4=0.30944357818944757)]"
"[BrainBitSignalData(PackNum=1057, Marker=0, O1=0.4, O2=0.216596428486279, T3=0.08501404286770141, T4=0.30655089049424217), BrainBitSignalData(PackNum=1057, Marker=0, O1=0.4, O2=0.21451817943399376, T3=0.08527916458050211, T4=0.303568557327802)]"
"[BrainBitSignalData(PackNum=1058, Marker=0, O1=0.4, O2=0.21646787306582743, T3=0.08583305915170589, T4=0.30529051331569035), BrainBitSignalData(PackNum=1058, Marker=0, O1=0.4, O2=0.21830541449109506, T3=0.08623055098586177, T4=0.3070422239706268)]"
"[BrainBitSignalData(PackNum=1059, Marker=0, O1=0.4, O2=0.21533834012826933, T3=0.08589447583625397, T4=0.3031752616646401), BrainBitSignalData(PackNum=1059, Marker=0, O1=0.4, O2=0.21607915504374986, T3=0.08621529218224734, T4=0.3034873041985552)]"
"[BrainBitSignalData(PackNum=1060, Marker=0, O1=0.4, O2=0.2169607324225735, T3=0.08642319338149393, T4=0.3039855041365663), BrainBitSignalData(PackNum=1060, Marker=0, O1=0.4, O2=0.21723195765681996, T3=0.0864933838781203, T4=0.3038504637245786)]"
"[BrainBitSignalData(PackNum=1061, Marker=0, O1=0.4, O2=0.21612569439477386, T3=0.08651131297236726, T4=0.30208616455666026), BrainBitSignalData(PackNum=1061, Marker=0, O1=0.4, O2=0.21686879813079657, T3=0.0868615025153184, T4=0.30248632668144865)]"
"[BrainBitSignalData(PackNum=1062, Marker=0, O1=0.4, O2=0.21829168156784207, T3=0.08727692344372125, T4=0.3037516629711752), BrainBitSignalData(PackNum=1062, Marker=0, O1=0.4, O2=0.21746618029230147, T3=0.0872044441265527, T4=0.3025527024771714)]"
"[BrainBitSignalData(PackNum=1063, Marker=0, O1=0.4, O2=0.21594945521302722, T3=0.08724831318694419, T4=0.3005301480580788), BrainBitSignalData(PackNum=1063, Marker=0, O1=0.4, O2=0.21677304913811601, T3=0.08755539660968457, T4=0.3014128698471735)]"
"[BrainBitSignalData(PackNum=1064, Marker=0, O1=0.4, O2=0.21843473285172735, T3=0.0879582290251055, T4=0.30336065612855545), BrainBitSignalData(PackNum=1064, Marker=0, O1=0.4, O2=0.21585790239134064, T3=0.08763321650811816, T4=0.3004828457668741)]"
"[BrainBitSignalData(PackNum=1065, Marker=0, O1=0.4, O2=0.21554128221634122, T3=0.08784989151944306, T4=0.3001460076770856), BrainBitSignalData(PackNum=1065, Marker=0, O1=0.4, O2=0.2161398087881172, T3=0.08808678444555706, T4=0.3010771761676561)]"
"[BrainBitSignalData(PackNum=1066, Marker=0, O1=0.4, O2=0.21721288415230194, T3=0.08837097966287581, T4=0.3026732470257254), BrainBitSignalData(PackNum=1066, Marker=0, O1=0.4, O2=0.21394750017881412, T3=0.08803643039362945, T4=0.2991194716639249)]"
"[BrainBitSignalData(PackNum=1067, Marker=0, O1=0.4, O2=0.2144643921512529, T3=0.08835686526953246, T4=0.2998538015878693), BrainBitSignalData(PackNum=1067, Marker=0, O1=0.4, O2=0.2151315833392938, T3=0.08858651026392962, T4=0.3009066590372649)]"
"[BrainBitSignalData(PackNum=1068, Marker=0, O1=0.4, O2=0.2151849891519443, T3=0.08860138759745369, T4=0.30137701165867964), BrainBitSignalData(PackNum=1068, Marker=0, O1=0.4, O2=0.21232396347423885, T3=0.08830765562787593, T4=0.29830159979019144)]"
"[BrainBitSignalData(PackNum=1069, Marker=0, O1=0.4, O2=0.21309300717640609, T3=0.08861321317025488, T4=0.2994353288987435), BrainBitSignalData(PackNum=1069, Marker=0, O1=0.4, O2=0.21426373888372316, T3=0.088870324011158, T4=0.3011305819803066)]"
"[BrainBitSignalData(PackNum=1070, Marker=0, O1=0.4, O2=0.21282712252342464, T3=0.08860062465727297, T4=0.29992780678539926), BrainBitSignalData(PackNum=1070, Marker=0, O1=0.4, O2=0.21129704599098778, T3=0.08848465774980331, T4=0.2983553870729323)]"
"[BrainBitSignalData(PackNum=1071, Marker=0, O1=0.4, O2=0.21212674343752236, T3=0.088596428486279, T4=0.29956693607991797), BrainBitSignalData(PackNum=1071, Marker=0, O1=0.4, O2=0.2137395989795675, T3=0.08874596476170041, T4=0.3017931955272632)]"
"[BrainBitSignalData(PackNum=1072, Marker=0, O1=0.4, O2=0.2109296902939704, T3=0.08819550342130987, T4=0.29897985361085283), BrainBitSignalData(PackNum=1072, Marker=0, O1=0.4, O2=0.21082631189948264, T3=0.08824700188350858, T4=0.2991614333738645)]"
"[BrainBitSignalData(PackNum=1073, Marker=0, O1=0.4, O2=0.21169682664568581, T3=0.08832367737167109, T4=0.3004168514412417), BrainBitSignalData(PackNum=1073, Marker=0, O1=0.4, O2=0.2129228715161052, T3=0.08840721932146008, T4=0.30212698185632886)]"
"[BrainBitSignalData(PackNum=1074, Marker=0, O1=0.4, O2=0.20963421786710537, T3=0.08781403333094914, T4=0.2985712991440765), BrainBitSignalData(PackNum=1074, Marker=0, O1=0.4, O2=0.2103059866962306, T3=0.0878620985623346, T4=0.2994952197029302)]"
"[BrainBitSignalData(PackNum=1075, Marker=0, O1=0.4, O2=0.21107121569749424, T3=0.08777893808263595, T4=0.30054540686169323), BrainBitSignalData(PackNum=1075, Marker=0, O1=0.4, O2=0.2108053310445128, T3=0.08746308084781727, T4=0.3004206661421453)]"
"[BrainBitSignalData(PackNum=1076, Marker=0, O1=0.4, O2=0.20947705218987675, T3=0.08704346374842048, T4=0.29894513983263), BrainBitSignalData(PackNum=1076, Marker=0, O1=0.4, O2=0.21007252700092985, T3=0.08687943160956536, T4=0.2996596333118757)]"
"[BrainBitSignalData(PackNum=1077, Marker=0, O1=0.4, O2=0.21156903416541498, T3=0.08682297403619198, T4=0.3013472569916315), BrainBitSignalData(PackNum=1077, Marker=0, O1=0.4, O2=0.210269365567556, T3=0.08621452924206661, T4=0.2998980521183511)]"
"[BrainBitSignalData(PackNum=1078, Marker=0, O1=0.4, O2=0.20904370216722695, T3=0.08580292301456739, T4=0.29845228047588396), BrainBitSignalData(PackNum=1078, Marker=0, O1=0.4, O2=0.21004620556469494, T3=0.08567284171375439, T4=0.2996775624061226)]"
"[BrainBitSignalData(PackNum=1079, Marker=0, O1=0.4, O2=0.21194897837541427, T3=0.08573311398803138, T4=0.3019598979567508), BrainBitSignalData(PackNum=1079, Marker=0, O1=0.4, O2=0.20933705266671435, T3=0.085161671792671, T4=0.299042414705672)]"
"[BrainBitSignalData(PackNum=1080, Marker=0, O1=0.4, O2=0.20960713349068974, T3=0.08529366044393583, T4=0.29936323105166535), BrainBitSignalData(PackNum=1080, Marker=0, O1=0.4, O2=0.2106809717950552, T3=0.08539742030851394, T4=0.3007391936675965)]"
"[BrainBitSignalData(PackNum=1081, Marker=0, O1=0.4, O2=0.21226445414014258, T3=0.0855240683785137, T4=0.3027705218987674), BrainBitSignalData(PackNum=1081, Marker=0, O1=0.4, O2=0.2094442457621057, T3=0.08499039172209905, T4=0.2995882984049782)]"
"[BrainBitSignalData(PackNum=1082, Marker=0, O1=0.4, O2=0.21047230765562788, T3=0.08519981880170709, T4=0.3007781036168133), BrainBitSignalData(PackNum=1082, Marker=0, O1=0.4, O2=0.21174679922752307, T3=0.08543098967646569, T4=0.302366163602985)]"
"[BrainBitSignalData(PackNum=1083, Marker=0, O1=0.4, O2=0.2120710488043297, T3=0.08546112581360418, T4=0.30293722432825504), BrainBitSignalData(PackNum=1083, Marker=0, O1=0.4, O2=0.20995312686264694, T3=0.0852967122046587, T4=0.3005274777674463)]"
"[BrainBitSignalData(PackNum=1084, Marker=0, O1=0.4, O2=0.211253939870777, T3=0.08562973559354362, T4=0.30209379395846747), BrainBitSignalData(PackNum=1084, Marker=0, O1=0.4, O2=0.21298466967074364, T3=0.08592499344348282, T4=0.3042475740886441)]"
"[BrainBitSignalData(PackNum=1085, Marker=0, O1=0.4, O2=0.21170941515866773, T3=0.08562286913191713, T4=0.30298757838018264), BrainBitSignalData(PackNum=1085, Marker=0, O1=0.4, O2=0.21095143408912095, T3=0.08567207877357366, T4=0.3020808239753952)]"
"[BrainBitSignalData(PackNum=1086, Marker=0, O1=0.4, O2=0.2122118112676728, T3=0.08600929833345254, T4=0.30361891137972963), BrainBitSignalData(PackNum=1086, Marker=0, O1=0.4, O2=0.21428281238824118, T3=0.0864876618267649, T4=0.3061427174975562)]"
"[BrainBitSignalData(PackNum=1087, Marker=0, O1=0.4, O2=0.2118707770068903, T3=0.08618019693393415, T4=0.3034308466251818), BrainBitSignalData(PackNum=1087, Marker=0, O1=0.4, O2=0.21253110173330472, T3=0.08641327515914456, T4=0.30411596690746967)]"
"[BrainBitSignalData(PackNum=1088, Marker=0, O1=0.4, O2=0.21372395870586272, T3=0.08662499105929476, T4=0.3055296950623465), BrainBitSignalData(PackNum=1088, Marker=0, O1=0.4, O2=0.21515370860453473, T3=0.08673676179577046, T4=0.3073325227093913)]"
"[BrainBitSignalData(PackNum=1089, Marker=0, O1=0.4, O2=0.2123788951672508, T3=0.0862583983024581, T4=0.30422697470376464), BrainBitSignalData(PackNum=1089, Marker=0, O1=0.4, O2=0.21359349593495935, T3=0.08655518203275875, T4=0.3056468063800873)]"
"[BrainBitSignalData(PackNum=1090, Marker=0, O1=0.4, O2=0.214665426888873, T3=0.08675621677037886, T4=0.3070147581241208), BrainBitSignalData(PackNum=1090, Marker=0, O1=0.4, O2=0.2145517488019455, T3=0.08674439119757767, T4=0.30709334096273516)]"
"[BrainBitSignalData(PackNum=1091, Marker=0, O1=0.4, O2=0.21378690127077224, T3=0.0867150180006199, T4=0.30629683141406194), BrainBitSignalData(PackNum=1091, Marker=0, O1=0.4, O2=0.2146810671625778, T3=0.08695152945664354, T4=0.3073706697184274)]"
"[BrainBitSignalData(PackNum=1092, Marker=0, O1=0.4, O2=0.21691915218272417, T3=0.08739937534272704, T4=0.30995360370025987), BrainBitSignalData(PackNum=1092, Marker=0, O1=0.4, O2=0.2155134348997449, T3=0.08704575256896264, T4=0.30836668812435925)]"
"[BrainBitSignalData(PackNum=1093, Marker=0, O1=0.4, O2=0.21391049758004912, T3=0.08700607967956513, T4=0.3062441885415922), BrainBitSignalData(PackNum=1093, Marker=0, O1=0.4, O2=0.21570455141501563, T3=0.08743103736022698, T4=0.3079650001192094)]"
"[BrainBitSignalData(PackNum=1094, Marker=0, O1=0.4, O2=0.21790143766540304, T3=0.08788079059676228, T4=0.3101279355315547), BrainBitSignalData(PackNum=1094, Marker=0, O1=0.4, O2=0.21527883079417304, T3=0.08750160932694372, T4=0.3067492549412298)]"
"[BrainBitSignalData(PackNum=1095, Marker=0, O1=0.4, O2=0.2158941420499249, T3=0.0878407362372744, T4=0.3069811887561691), BrainBitSignalData(PackNum=1095, Marker=0, O1=0.4, O2=0.21712934220251295, T3=0.08815010848055695, T4=0.30800429153851655)]"
"[BrainBitSignalData(PackNum=1096, Marker=0, O1=0.4, O2=0.21845418782633574, T3=0.08827828243091815, T4=0.30922385141739983), BrainBitSignalData(PackNum=1096, Marker=0, O1=0.4, O2=0.21568662232076866, T3=0.08779839305724436, T4=0.30567122046587036)]"
"[BrainBitSignalData(PackNum=1097, Marker=0, O1=0.4, O2=0.2168790978232363, T3=0.08806847388121976, T4=0.30669546765848893), BrainBitSignalData(PackNum=1097, Marker=0, O1=0.4, O2=0.21837980115871541, T3=0.08836563908161076, T4=0.30808249290704054)]"
"[BrainBitSignalData(PackNum=1098, Marker=0, O1=0.4, O2=0.21849195336528146, T3=0.08824776482368929, T4=0.30791121283646855), BrainBitSignalData(PackNum=1098, Marker=0, O1=0.4, O2=0.21675130534296547, T3=0.08787010943423218, T4=0.30545416398445513)]"
"[BrainBitSignalData(PackNum=1099, Marker=0, O1=0.4, O2=0.2181554967455833, T3=0.0879475478625754, T4=0.30661841070023604), BrainBitSignalData(PackNum=1099, Marker=0, O1=0.4, O2=0.22030126600386238, T3=0.08811501323224376, T4=0.3086684309658346)]"
"[BrainBitSignalData(PackNum=1100, Marker=0, O1=0.4, O2=0.2187624156593472, T3=0.08750885725866056, T4=0.30659781131535657), BrainBitSignalData(PackNum=1100, Marker=0, O1=0.4, O2=0.2182825262856734, T3=0.0873307107264621, T4=0.30562468111484636)]"
"[BrainBitSignalData(PackNum=1101, Marker=0, O1=0.4, O2=0.21939985218034, T3=0.0873093484014019, T4=0.3066081110077963), BrainBitSignalData(PackNum=1101, Marker=0, O1=0.4, O2=0.2213064396919629, T3=0.08735626922251627, T4=0.3086005292897504)]"
"[BrainBitSignalData(PackNum=1102, Marker=0, O1=0.4, O2=0.21854154447702837, T3=0.08658074052881291, T4=0.305202393724817), BrainBitSignalData(PackNum=1102, Marker=0, O1=0.4, O2=0.21910459433040078, T3=0.08652046825453592, T4=0.3055525832677682)]"
"[BrainBitSignalData(PackNum=1103, Marker=0, O1=0.4, O2=0.21991407386214626, T3=0.08640640869751806, T4=0.3063689292611401), BrainBitSignalData(PackNum=1103, Marker=0, O1=0.4, O2=0.22024862313139262, T3=0.08619278544691605, T4=0.3067450587702358)]"
"[BrainBitSignalData(PackNum=1104, Marker=0, O1=0.4, O2=0.21875554919772072, T3=0.08565338673914599, T4=0.3048323677371671), BrainBitSignalData(PackNum=1104, Marker=0, O1=0.4, O2=0.2193773454450087, T3=0.08544777436044156, T4=0.30529165772596145)]"
"[BrainBitSignalData(PackNum=1105, Marker=0, O1=0.4, O2=0.22045690580072957, T3=0.08535355124812245, T4=0.3063365043034595), BrainBitSignalData(PackNum=1105, Marker=0, O1=0.4, O2=0.21989576329780894, T3=0.08490379801158715, T4=0.3055918746870753)]"
"[BrainBitSignalData(PackNum=1106, Marker=0, O1=0.4, O2=0.21794988436687887, T3=0.08439377250077486, T4=0.3030802756121403), BrainBitSignalData(PackNum=1106, Marker=0, O1=0.4, O2=0.21900197887609374, T3=0.08437927663734116, T4=0.30411138926638537)]"
"[BrainBitSignalData(PackNum=1107, Marker=0, O1=0.4, O2=0.22062437117039793, T3=0.08444717831342537, T4=0.305931001597406), BrainBitSignalData(PackNum=1107, Marker=0, O1=0.4, O2=0.21841642228739003, T3=0.08381470090360728, T4=0.3034121545907541)]"
"[BrainBitSignalData(PackNum=1108, Marker=0, O1=0.4, O2=0.21788999356269223, T3=0.08366249433755335, T4=0.3026103044608159), BrainBitSignalData(PackNum=1108, Marker=0, O1=0.4, O2=0.21878225210404598, T3=0.08362968790978233, T4=0.30355253558400686)]"
"[BrainBitSignalData(PackNum=1109, Marker=0, O1=0.4, O2=0.22042219202250674, T3=0.08370216722695087, T4=0.30545759721526833), BrainBitSignalData(PackNum=1109, Marker=0, O1=0.4, O2=0.21734868750447037, T3=0.08299454020933171, T4=0.30192861740934124)]"
"[BrainBitSignalData(PackNum=1110, Marker=0, O1=0.4, O2=0.21795865817895715, T3=0.0830422239706268, T4=0.3024886155019908), BrainBitSignalData(PackNum=1110, Marker=0, O1=0.4, O2=0.21900617504708772, T3=0.08306816393677134, T4=0.3036128078582839)]"
